nome,paese,regione,sub_regione,tipo_partecipazione,data_inizio,data_fine,personale_militare,personale_civile,personale_totale,costo_totale,tipo_missione,commitment,is_active
MIADIT Palestine,Palestine,Middle East,Non specificata,civmil,2012-07-12 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
EUDEL,Libya,Northern Africa and Meditterranean,Non specificata,civmil,2013-05-24 00:00:00,,100.0,50.0,150,25000000,EU,Troops,False
EUDEL Libya,Libya,Northern Africa and Meditterranean,Non specificata,civmil,2013-05-24 00:00:00,,100.0,50.0,150,25000000,EU,Troops,False
Cieli Ghiacciati,Iceland,Rest of Europe,Non specificata,civmil,2013-06-13 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Base Gibuti,Djibouti,Sub-Saharan Africa,Non specificata,civmil,2014-01-01 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
EUFOR RCA,Central African Republic,Sub-Saharan Africa,Non specificata,civmil,2014-06-15 00:00:00,,100.0,50.0,150,25000000,EU,Troops,False
EMOCHM,Mozambique,Sub-Saharan Africa,Non specificata,civmil,2014-08-24 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
Prima Parthica,"Iraq, Kuwait",Middle East,Non specificata,civmil,2014-10-03 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,True
Frontiera Baltica,Lithuania,Rest of Europe,Non specificata,civmil,2015-01-01 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Resolute Support,Afghanistan,Asia,Non specificata,civmil,2015-01-01 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
EUNAVFOR Med - Sophia,Mediterranean Sea,Northern Africa and Meditterranean,Non specificata,civmil,2015-05-18 00:00:00,,100.0,50.0,150,25000000,EU,Troops,False
Enhanced Forward Presence - Baltic Guardian Lettonia,Latvia,Rest of Europe,Non specificata,civmil,2016-01-01 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,True
Ippocrate,Libya,Northern Africa and Meditterranean,Non specificata,civmil,2016-09-14 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
Enhanced Air Policing Bulgaria,Bulgaria,Rest of Europe,Non specificata,civmil,2017-01-01 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Northern Ice,Iceland,Rest of Europe,Non specificata,civmil,2017-03-23 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Active Fence,Turkey,Rest of Europe,Non specificata,civmil,2018-01-01 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Baltic Eagle,Esthonia,Rest of Europe,Non specificata,civmil,2018-01-01 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,True
MISIN Niger,Niger,Sub-Saharan Africa,Non specificata,civmil,2018-01-01 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,True
Joint Operation Themis,Mediterranean Sea,Northern Africa and Meditterranean,Non specificata,civmil,2018-02-01 00:00:00,,100.0,50.0,150,25000000,EU,Troops,False
Northern Stork,Iceland,Rest of Europe,Non specificata,civmil,2018-09-13 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Enhanced Air Policing Romania,Romania,Rest of Europe,Non specificata,civmil,2019-01-01 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
MIADIT Somalia,Somalia,Sub-Saharan Africa,Non specificata,civmil,2019-01-21 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,True
