nome,paese,regione,sub_regione,tipo_partecipazione,data_inizio,data_fine,personale_militare,personale_civile,personale_totale,costo_totale,tipo_missione,commitment,is_active
UNIIMOG,"Iraq, Iran",Middle East,Non specificata,civmil,1988-08-15 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UNTAG,Namibia,Sub-Saharan Africa,Non specificata,civmil,1989-03-13 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UNOCA,Afghanistan,Asia,Non specificata,civmil,1989-03-30 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
Desert Shield - Golfo 2,Iraq,Middle East,Non specificata,civmil,1990-08-16 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
Desert Storm - Locusta,Iraq,Middle East,Non specificata,civmil,1990-09-25 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
UNOSGI,Iraq,Middle East,Non specificata,civmil,1991-03-01 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
Provide Comfort I,Iraq,Middle East,Non specificata,civmil,1991-04-20 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
EUMM Balcani,"Bosnia and Herzegovina, Croatia, Serbia, Montenegro, Albania, Macedonia",Balkans,Non specificata,civmil,1991-07-18 00:00:00,,100.0,50.0,150,25000000,EU,Troops,False
Provide Comfort II,Iraq,Middle East,Non specificata,civmil,1991-07-24 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
ONUSAL,El Salvador,Americas,Non specificata,civmil,1991-07-26 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
Pellicano,Albania,Balkans,Non specificata,civmil,1991-09-16 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
Sharp Fence - Maritime Guard,Adriatic Sea,Balkans,Non specificata,civmil,1992-07-10 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
UNTAC,Cambodia,Asia,Non specificata,civmil,1992-07-23 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UNITAF - Restore Hope - Ibis I,Somalia,Sub-Saharan Africa,Non specificata,civmil,1992-12-03 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UNOMOZ,Mozambique,Sub-Saharan Africa,Non specificata,civmil,1993-02-22 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UNOSOM II - Ibis II,Somalia,Sub-Saharan Africa,Non specificata,civmil,1993-05-04 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
Operazione Danubio,Yugoslavia,Balkans,Non specificata,civmil,1993-05-26 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
Sharp Guard,Adriatic Sea,Balkans,Non specificata,civmil,1993-06-15 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Deny Flight,Bosnia and Herzegovina,Balkans,Non specificata,civmil,1993-06-30 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Ippocampo,Rwanda,Sub-Saharan Africa,Non specificata,civmil,1994-03-10 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
TIPH I,Palestine,Middle East,Non specificata,civmil,1994-05-08 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
United Shield,Somalia,Sub-Saharan Africa,Non specificata,civmil,1995-01-10 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UPFM,Bosnia and Herzegovina,Balkans,Non specificata,civmil,1995-03-08 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
MINUGUA,Guatemala,Americas,Non specificata,civmil,1995-07-17 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UNAVEM III,Angola,Sub-Saharan Africa,Non specificata,civmil,1995-08-24 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
Deliberate Force,Bosnia and Herzegovina,Balkans,Non specificata,civmil,1995-09-04 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
TIPH II,Palestine,Middle East,Non specificata,civmil,1996-01-29 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
Joint Forge (SFOR),Kosovo,Balkans,Non specificata,civmil,1996-12-20 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Alba,Albania,Balkans,Non specificata,civmil,1997-04-13 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
28esimo gruppo navale,Albania,Balkans,Non specificata,civmil,1997-04-15 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
MAPE,Albania,Balkans,Non specificata,civmil,1997-05-12 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
UNMIBH (IPTF),Bosnia and Herzegovina,Balkans,Non specificata,civmil,1997-05-27 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
DIE,Albania,Balkans,Non specificata,civmil,1997-10-11 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
Eagle Eye,Kosovo,Balkans,Non specificata,civmil,1998-11-27 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Joint Guarantor,Macedonia,Balkans,Non specificata,civmil,1998-12-09 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Allied Force,Kosovo,Balkans,Non specificata,civmil,1999-03-24 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Allied Harbour,Albania,Balkans,Non specificata,civmil,1999-04-11 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
